EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
307529.700,289029.900,711634.500,711685.900,711420.600,711888.700,411498.100,712316.500,0.000
308058.000,289643.000,711659.400,711711.300,711445.300,711913.400,411421.600,712341.300,0.000
307635.000,289217.500,711627.400,711678.100,711413.900,711881.900,410455.200,712309.900,0.000
307000.200,288521.500,711598.700,711647.300,711385.900,711853.800,409133.200,712282.400,0.000
307228.200,288767.400,711612.800,711660.900,711400.300,711868.500,408615.400,712297.000,0.000
307830.400,289454.700,711641.900,711690.700,711429.100,711897.200,408602.700,712325.800,0.000
307595.000,289240.200,711620.500,711668.100,711408.100,711876.200,407847.200,712304.600,0.000
306873.700,288454.800,711581.100,711626.500,711369.400,711837.500,406482.500,712266.400,0.000
306961.300,288538.900,711594.300,711638.900,711382.800,711850.900,405840.000,712279.800,0.000
307590.500,289251.600,711630.300,711675.600,711418.800,711886.800,405859.300,712316.000,0.000
307543.200,289243.900,711620.200,711664.900,711408.600,711877.200,405321.600,712306.300,0.000
306791.400,288432.700,711574.700,711617.500,711364.400,711832.900,403977.800,712261.400,0.000
306711.900,288328.100,711577.600,711619.300,711367.800,711835.900,403186.000,712265.100,0.000
307327.200,289012.200,711615.800,711657.500,711405.400,711873.700,403183.900,712303.200,0.000
307458.800,289197.300,711616.800,711657.900,711406.100,711874.700,402843.200,712304.400,0.000
306738.700,288427.000,711571.800,711611.400,711362.600,711831.100,401578.100,712260.400,0.000
306491.100,288144.300,711565.100,711603.500,711357.000,711824.500,400647.900,712254.800,0.000
307049.100,288763.800,711602.500,711640.900,711394.100,711861.500,400583.400,712291.900,0.000
307352.900,289135.400,711612.600,711651.300,711404.300,711872.100,400408.300,712302.100,0.000
306703.400,288455.000,711567.400,711604.600,711359.900,711827.400,399256.700,712257.900,0.000
306298.800,288008.900,711553.300,711588.600,711346.400,711814.300,398207.500,712244.600,0.000
306760.000,288516.300,711586.400,711621.400,711379.500,711847.600,398048.700,712277.600,0.000
307206.300,289040.400,711607.900,711643.400,711401.200,711869.300,398025.000,712299.300,0.000
306670.500,288491.200,711570.900,711604.600,711364.300,711832.300,397039.000,712262.600,0.000
306126.200,287890.600,711543.500,711575.300,711337.500,711805.800,395885.300,712236.100,0.000
306461.500,288253.700,711569.100,711600.800,711363.600,711831.500,395598.500,712262.300,0.000
307003.700,288871.800,711595.800,711628.000,711390.000,711858.100,395661.600,712288.700,0.000
306651.000,288523.800,711572.600,711603.600,711367.600,711835.500,394890.000,712266.200,0.000
306008.700,287824.800,711542.600,711571.300,711338.600,711806.900,393685.000,712237.800,0.000
306207.300,288038.100,711561.400,711589.400,711357.100,711825.300,393265.200,712256.400,0.000
306799.100,288708.600,711593.600,711622.600,711389.300,711857.300,393371.900,712288.300,0.000
306622.200,288555.400,711578.400,711606.600,711375.100,711842.600,392799.900,712273.800,0.000
305919.800,287801.200,711539.300,711565.100,711336.400,711804.600,391577.600,712235.600,0.000
305951.800,287827.600,711547.400,711572.200,711344.800,711812.900,391003.600,712243.800,0.000
306550.000,288497.200,711584.400,711609.900,711381.500,711849.700,391112.700,712280.800,0.000
306533.900,288524.900,711575.800,711600.600,711372.800,711841.300,390723.300,712272.300,0.000
305831.000,287772.800,711536.600,711559.300,711334.800,711802.900,389542.600,712234.400,0.000
305713.500,287630.000,711537.400,711559.100,711336.400,711804.400,388828.600,712235.900,0.000
306293.000,288266.500,711573.800,711595.800,711372.400,711840.800,388902.000,712271.800,0.000
306476.100,288501.800,711579.200,711601.400,711377.800,711846.400,388717.600,712277.400,0.000
305798.500,287785.300,711537.100,711556.800,711336.800,711805.000,387611.000,712236.300,0.000
305525.900,287474.200,711532.300,711550.600,711332.400,711800.900,386771.100,712232.100,0.000
306046.300,288038.300,711567.600,711585.800,711367.400,711835.800,386775.400,712267.300,0.000
306383.800,288439.300,711580.200,711598.300,711379.900,711848.200,386740.700,712279.600,0.000
305791.500,287823.800,711540.800,711557.000,711341.400,711809.900,385759.700,712241.300,0.000
305371.600,287362.000,711522.900,711537.500,711324.600,711793.100,384803.000,712224.600,0.000
