EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8
299189.4,283054.1,711668.9,687570.3,711530.2,711997.6,297741.3,712421.4
299122.9,283002.8,711668.8,686768.9,711529.9,711997.9,297424.1,712419.7
299404.7,283271.2,711688.1,686613.4,711549.4,712017.2,297533.4,712437.4
299488,283348.9,711693.1,686250.6,711554.7,712022.2,297500.8,712441.1
299123,283015.9,711661.9,685111.1,711530.2,711997.6,296949.5,712414.3
298967.3,282885.6,711654.4,684230.3,711522.5,711990.4,296543.1,712404.8
299211.3,283122.9,711675.4,684237.6,711541.1,712009.4,296605.4,712421.9
299358.6,283262,711676,684245.7,711546.2,712014.8,296642.4,712425.3
299032,282960.6,711661.7,683446,711523.8,711992.1,296149.6,712401.6
298799.3,282757.5,711650.6,682642.9,711511.6,711979.9,295673.4,712387.4
298991.6,282946.6,711665.8,682546.7,711527.3,711995.2,295675.3,712401.2
299201.8,283144,711676.1,682598.3,711537.9,712005.9,295776.7,712410.1
298943.5,282905.1,711657.7,681892.2,711519.6,711987.6,295376,712389.4
298657.1,282651.9,711643.3,680982.3,711505.3,711973.2,294855,712372.8
298793.3,282791.9,711656.9,680755.4,711518.9,711986.5,294796.1,712384.6
299053.5,283036,711674.5,680840.5,711536.4,712004.5,294945.4,712401.2
298883.6,282879,711659.8,680265,711522.1,711990.6,294653.1,712384.4
298544.9,282573.3,711638.4,679278.3,711500.7,711969,294092.7,712360.5
298616.5,282649.8,711646.9,678908.9,711509,711977.5,293951.8,712367.1
298898.7,282916.3,711665.9,678994.1,711528.2,711996.5,294114.6,712384.4
298815,282836,711659.4,678558.4,711521.9,711990,293928.4,712375.9
298451.3,282503.7,711635.9,677543.2,711498.4,711966.2,293361.7,712349.5
298454.4,282519.3,711642.8,677042.9,711505.4,711972.8,293151.1,712353.8
298747.9,282797.8,711664.8,677110.3,711527.5,711995.1,293319,712374.2
298755.8,282805.6,711661.1,676813.7,711523.6,711991.7,293235.7,712368.8
298375.2,282458.7,711635.8,675805.1,711498.4,711966.5,292677.4,712340.9
298300.7,282404.9,711636.1,675167.2,711498.4,711966.4,292384.5,712338.1
298567.7,282659.2,711654.6,675172.8,711516.6,711984.8,292516.8,712354.6
298668.2,282751.8,711661.3,675019.9,711523.8,711991.9,292540.2,712359.9
298316.8,282428.3,711640.3,674084.6,711502.6,711970.9,292038.9,712335.8
298157.2,282291.5,711634.9,673315.9,711497.6,711965.9,291662.6,712327.8
298406.4,282528.8,711656.5,673253.6,711518.9,711987.1,291760.1,712346.9
298593.5,282702.7,711667.8,673209.1,711530.2,711997.9,291863.7,712355.8
