EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8
318177.5,297270,717268.1,717328.3,717051.5,717524.6,542416.8,717933.8
317330.9,296426.9,716985.4,717045.9,716769.4,717242.1,539642.2,717651.4
316755.8,295839.6,716738.3,716798.9,716523.1,716995.1,537020.4,717405.2
317036.2,296206.6,716543.6,716604.3,716328.2,716800.8,535276,717210.8
317271.3,296561.3,716346.2,716406.6,716131,716603.3,533649.4,717013.1
316547,295844.3,716104.7,716164.8,715889.1,716361.3,531122.4,716771.6
315849.4,295108.4,715884.8,715945.3,715669.2,716140.8,528495.3,716551.8
316058.3,295383.3,715728.1,715787.8,715512.4,715983.8,526768.7,716395
316422.4,295868.1,715573.3,715633.1,715357.7,715829.3,525358,716240.4
315875.4,295343.5,715373.3,715432.8,715157.6,715629.1,523122.1,716040.7
315094.7,294517.1,715179.3,715238.9,714964.1,715435,520542.5,715846.9
315167.1,294633.8,715041.8,715101.6,714826.5,715297.5,518758.2,715709.6
315641.9,295231.6,714932.2,714992.2,714717.4,715188,517518.3,715600.2
315295.1,294936.9,714773.1,714832.7,714557.9,715028.4,515585.9,715441.2
314448.3,294042.9,714595.4,714654.9,714380.2,714850.8,513058.7,715264
314387.8,294002.7,714480.6,714539.7,714265.1,714735.6,511235.8,715148.8
314893.7,294620.4,714395.7,714455.3,714181.2,714651.4,510086,715064.4
314742.7,294537.5,714264.6,714324.3,714050,714520.4,508416.8,714934
313892.6,293643.3,714109.1,714169.1,713894.4,714365.2,505994.6,714778.9
313680.9,293426.5,714004.9,714064.6,713790,714260.8,504097.8,714674.8
314191.6,294036.1,713941.7,714001.8,713727,714197.4,503002.5,714611.8
314239.8,294165.1,713844.4,713903.9,713629.4,714100,501604.1,714514.5
313431.7,293317.8,713707.9,713767.4,713493.6,713963.6,499328.7,714378.4
313056.1,292913.5,713609.3,713668.8,713395.1,713864.8,497357.4,714280.2
313505.9,293445.4,713559,713618.2,713344.3,713814.3,496254.4,714229.8
313741.7,293779.7,713491.1,713550,713276.3,713746.3,495102.7,714161.6
313034.6,293051.4,713373.6,713432.8,713158.8,713628.8,493021.2,714044.1
312529.8,292505.9,713283,713342.2,713068.1,713538.2,491006.4,713953.8
312891.9,292933.9,713243.6,713302.3,713028.6,713498.4,489867.8,713914.1
313264.6,293413.9,713194.8,713253.4,712980.2,713449.7,488891.2,713865.9
312687.9,292834.9,713095.7,713154.4,712881.5,713350.8,487021.2,713767.6
312056.8,292155.6,713007.2,713066.2,712793.1,713262.3,484968.8,713679.2
312306.5,292453,712972.9,713031.8,712758.6,713228,483771.6,713645
312787.5,293041.2,712943,713001.8,712728.3,713197.8,482945.8,713615.1
312383.3,292657,712861.9,712920.6,712647.3,713116.7,481321,713534.3
311666.8,291884.8,712778.5,712836.8,712563.8,713033.4,479270.3,713450.8
311787.6,292033.1,712748.6,712806.6,712533.6,713003.1,477991.5,713420.6
312333.8,292683.6,712733.1,712791.6,712518.1,712987.5,477258.6,713405.7
312116.3,292507.3,712671.6,712729.8,712456.5,712925.9,475884.2,713344.2
311344.4,291681.6,712587.8,712646.1,712373.6,712842.7,473868.4,713261
311301.8,291640.8,712556.6,712614.9,712342.4,712811.5,472487.8,713230.3
311855.7,292293.2,712550.1,712608.9,712336.1,712805.1,471791.9,713224.2
311837.3,292336.6,712508.9,712567.2,712294.7,712763.8,470667.4,713182.8
311079.6,291532.2,712436.4,712494.3,712221.8,712690.9,468745.1,713110
310870.7,291306.4,712396.2,712454.4,712182.1,712651.2,467246.6,713070.7
311399.5,291917.7,712397.8,712456.4,712183.8,712652.9,466553.3,713072.7
311559.9,292151.5,712372.8,712430.7,712158.5,712627.4,465646.8,713047.3
310839.8,291393.5,712303.2,712361.2,712089.3,712558,463838.2,712978.4
310491.1,291011.6,712267.3,712325.2,712053.5,712522.1,462266.1,712942.1
310943,291529.6,712269.5,712327.4,712055.2,712524.2,461524.4,712944.5
311248.3,291921,712255,712313.1,712040.6,712509.6,460791.4,712929.9
310642.3,291296.9,712197.9,712255.7,711983.6,712452.7,459168.6,712873.3
310151.8,290760.1,712155.9,712213.4,711941.6,712410.6,457520.4,712831.3
310503.7,291162.6,712158.3,712216.1,711944.3,712412.7,456711.1,712834.1
310936.4,291688.8,712158.4,712215.7,711944.4,712412.8,456126.4,712834.6
310454.7,291208.9,712108.1,712164.9,711894,712362.6,454687.4,712783.9
309834.2,290535.9,712057.7,712114.4,711843.8,712312.4,452977.2,712733.7
